[2023-12-24 16:23:48] {'type': 'usb', 'action': 'change', 'timestamp': '2023-12-24 16:23:48.239959', 'model': 'USB_Keyboard', 'vendor': 'SEM', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3', 'node': '/dev/bus/usb/003/008'}
[2023-12-24 16:23:48] {'type': 'usb', 'action': 'add', 'timestamp': '2023-12-24 16:23:48.242290', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3/3-3:1.0', 'node': None}
[2023-12-24 16:23:48] {'type': 'usb', 'action': 'add', 'timestamp': '2023-12-24 16:23:48.245726', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3/3-3:1.1', 'node': None}
[2023-12-24 16:23:48] {'type': 'usb', 'action': 'bind', 'timestamp': '2023-12-24 16:23:48.312288', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3/3-3:1.0', 'node': None}
[2023-12-24 16:23:48] {'type': 'usb', 'action': 'bind', 'timestamp': '2023-12-24 16:23:48.318577', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3/3-3:1.1', 'node': None}
[2023-12-24 16:23:48] {'type': 'usb', 'action': 'bind', 'timestamp': '2023-12-24 16:23:48.324133', 'model': 'USB_Keyboard', 'vendor': 'SEM', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3', 'node': '/dev/bus/usb/003/008'}
[2025-06-30 12:17:28] {'type': 'usb', 'action': 'unbind', 'timestamp': '2025-06-30 12:17:28.971815', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3/3-3:1.1', 'node': None}
[2025-06-30 12:17:28] {'type': 'usb', 'action': 'remove', 'timestamp': '2025-06-30 12:17:28.974724', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3/3-3:1.1', 'node': None}
[2025-06-30 12:17:28] {'type': 'usb', 'action': 'unbind', 'timestamp': '2025-06-30 12:17:28.976835', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3', 'node': '/dev/bus/usb/003/008'}
[2025-06-30 12:17:28] {'type': 'usb', 'action': 'remove', 'timestamp': '2025-06-30 12:17:28.978503', 'model': 'Inconnu', 'vendor': 'Inconnu', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3', 'node': '/dev/bus/usb/003/008'}
[2025-06-30 12:20:23] {'type': 'usb', 'action': 'change', 'timestamp': '2025-06-30 12:20:23.078725', 'model': 'USB_Keyboard', 'vendor': 'SEM', 'serial': 'N/A', 'devpath': '/devices/pci0000:00/0000:00:14.0/usb3/3-3', 'node': '/dev/bus/usb/003/009'}
